City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1571081412,64,-33.64,115.35,278.15,4.466
1,pisco,42,PE,1571081412,30,-13.71,-76.2,295.15,7.2
2,sesimbra,20,PT,1571081412,63,38.45,-9.1,289.82,2.1
3,timizart,23,DZ,1571081412,74,36.8,4.25,297.5,5.962
4,butaritari,100,KI,1571081412,62,3.07,172.79,302.5,3.084
5,ponta do sol,0,BR,1571081412,30,-20.63,-46.0,304.1,2.231
6,aljezur,41,PT,1571081412,75,37.31,-8.8,290.93,3.13
7,hilo,90,US,1571081412,88,19.71,-155.08,297.15,2.6
8,alta floresta,37,BR,1571081412,66,-9.87,-56.08,302.15,1.5
9,saldanha,32,PT,1571081412,66,41.42,-6.55,283.4,4.989
10,hermanus,50,ZA,1571081412,71,-34.42,19.24,292.04,3.13
11,longyearbyen,75,NO,1571081412,85,78.22,15.63,266.15,1.5
12,mount gambier,90,AU,1571081412,100,-37.83,140.78,282.15,1.5
13,burley,1,US,1571081412,19,42.54,-113.79,289.15,5.1
14,banyuwangi,99,ID,1571081412,81,-8.21,114.37,298.3,7.472
15,kruisfontein,0,ZA,1571081412,77,-34.0,24.73,288.9,8.966
16,ushuaia,94,AR,1571081412,61,-54.81,-68.31,282.15,13.9
17,houma,74,CN,1571081412,64,35.63,111.36,280.5,3.078
18,upernavik,99,GL,1571081412,54,72.79,-56.15,268.5,5.915
19,boguchany,100,RU,1571081412,91,58.38,97.46,275.0,1.909
20,tignere,91,CM,1571081412,89,7.37,12.65,294.6,1.002
21,laguna,90,BZ,1571081412,94,16.17,-88.94,299.15,1.466
22,mingshui,1,CN,1571081412,76,22.81,109.89,294.3,3.82
23,westport,1,US,1571081412,68,41.14,-73.36,296.15,3.6
24,roblin,97,CA,1571081412,89,51.23,-101.35,274.5,2.238
25,bredasdorp,41,ZA,1571081412,63,-34.53,20.04,292.04,7.2
26,arecibo,1,PR,1571081412,70,18.47,-66.72,304.15,3.6
27,fort saint james,75,CA,1571081412,83,54.43,-124.25,275.2,1.853
28,namibe,99,AO,1571081412,85,-15.19,12.15,294.5,3.405
29,albany,40,US,1571081412,40,42.65,-73.75,294.82,3.6
30,mataura,91,NZ,1571081412,92,-46.19,168.86,282.59,0.89
31,salalah,20,OM,1571081412,74,17.01,54.1,301.15,3.6
32,cape town,75,ZA,1571081412,77,-33.93,18.42,290.93,2.6
33,punta arenas,1,CL,1571081412,33,-53.16,-70.91,287.15,7.7
34,atuona,0,PF,1571081412,75,-9.8,-139.03,299.6,7.811
35,sao filipe,11,CV,1571081412,79,14.9,-24.5,299.0,8.93
36,dikson,54,RU,1571081412,94,73.51,80.55,271.5,6.659
37,rikitea,0,PF,1571081412,82,-23.12,-134.97,295.8,4.326
38,mocuba,40,MZ,1571081412,79,-16.84,36.99,295.8,2.871
39,klaksvik,44,FO,1571081412,81,62.23,-6.59,281.15,5.7
40,tuktoyaktuk,75,CA,1571081412,85,69.44,-133.03,269.15,5.1
41,cayenne,8,GF,1571081412,62,4.94,-52.33,304.15,5.1
42,qaanaaq,100,GL,1571081412,68,77.48,-69.36,266.5,9.166
43,iqaluit,20,CA,1571081412,74,63.75,-68.52,272.15,1.5
44,severo-kurilsk,97,RU,1571081412,89,50.68,156.12,274.7,4.411
45,vaini,69,IN,1571081412,91,15.34,74.49,295.3,2.404
46,isangel,40,VU,1571081412,100,-19.55,169.27,293.15,2.6
47,chuy,100,UY,1571081412,67,-33.69,-53.46,285.2,6.3
48,tilichiki,0,RU,1571081412,89,60.47,166.1,269.0,1.203
49,saint-philippe,90,CA,1571081412,54,45.36,-73.48,286.48,4.6
50,leningradskiy,83,RU,1571081412,71,69.38,178.42,272.5,5.582
51,arraial do cabo,0,BR,1571081412,65,-22.97,-42.02,303.15,5.7
52,joshimath,1,IN,1571081412,72,30.57,79.57,279.5,1.562
53,luderitz,33,NA,1571081412,72,-26.65,15.16,290.15,8.2
54,touros,20,BR,1571081412,65,-5.2,-35.46,301.15,6.2
55,kashiwazaki,70,JP,1571081412,96,37.37,138.57,286.48,7.631
56,amahai,100,ID,1571081412,86,-3.31,129.0,301.48,1.991
57,norman wells,75,CA,1571081412,92,65.28,-126.83,271.15,2.1
58,ilulissat,20,GL,1571081412,57,69.22,-51.1,266.15,4.1
59,puerto ayora,75,EC,1571081412,57,-0.74,-90.35,298.15,9.8
60,fukue,75,JP,1571081412,64,35.03,136.69,293.15,10.8
61,mar del plata,0,AR,1571081412,41,-46.43,-67.52,284.1,6.025
62,dingle,98,PH,1571081412,92,11.0,122.67,296.5,3.447
63,kozhva,100,RU,1571081412,95,65.11,57.05,276.2,3.26
64,tessalit,44,ML,1571081412,14,20.2,1.01,310.1,7.073
65,half moon bay,1,US,1571081412,76,37.46,-122.43,295.93,4.1
66,gashua,7,NG,1571081412,15,12.87,11.04,307.8,3.518
67,jamestown,0,AU,1571081412,91,-33.21,138.6,280.8,1.998
68,bang len,20,TH,1571081412,88,14.02,100.17,300.37,2.6
69,victoria,75,BN,1571081412,88,5.28,115.24,299.82,3.1
70,pevek,61,RU,1571081412,71,69.7,170.27,273.5,8.591
71,ribeira grande,20,PT,1571081412,56,38.52,-28.7,294.15,6.7
72,ostrovnoy,88,RU,1571081412,78,68.05,39.51,273.6,2.416
73,zhezkazgan,100,KZ,1571081412,77,47.8,67.71,283.5,8.551
74,varna,90,BG,1571081412,87,43.22,27.9,288.15,3.019
75,aklavik,20,CA,1571081412,100,68.22,-135.01,268.15,6.2
76,kendari,0,ID,1571081412,91,-3.99,122.52,294.6,0.118
77,faanui,21,PF,1571081412,80,-16.48,-151.75,298.2,6.354
78,lexington,1,US,1571081412,53,38.05,-84.5,294.82,3.6
79,hobart,75,AU,1571081412,81,-42.88,147.33,283.15,5.1
80,bethel,1,US,1571081412,86,60.79,-161.76,272.15,2.6
81,port lincoln,0,AU,1571081412,84,-34.72,135.86,283.2,1.261
82,barrow,90,AR,1571081412,48,-38.31,-60.23,284.7,6.39
83,hithadhoo,100,MV,1571081412,85,-0.6,73.08,299.8,6.811
84,zomin,30,UZ,1571081412,53,39.96,68.4,283.5,0.84
85,new norfolk,75,AU,1571081412,81,-42.78,147.06,283.15,5.1
86,la palma,78,CO,1571081412,65,5.36,-74.39,300.0,1.582
87,thompson,90,CA,1571081412,93,55.74,-97.86,275.15,3.1
88,elat,100,CM,1571081412,98,2.91,11.16,294.0,2.671
89,north myrtle beach,40,US,1571081412,65,33.83,-78.68,300.93,3.1
90,port hedland,0,AU,1571081412,93,-20.31,118.58,292.15,3.6
91,avarua,75,CK,1571081412,83,-21.21,-159.78,296.15,3.6
92,acacoyagua,75,MX,1571081412,79,15.34,-92.68,303.15,1.0
93,lasa,68,CY,1571081412,43,34.92,32.53,299.15,3.1
94,geraldton,75,CA,1571081412,70,49.72,-86.95,279.15,4.6
95,bluff,0,AU,1571081412,83,-23.58,149.07,292.2,1.632
96,kapaa,20,US,1571081412,69,22.08,-159.32,301.15,6.7
97,kaitangata,70,NZ,1571081412,82,-46.28,169.85,283.71,5.36
98,la asuncion,100,AR,1571081412,95,-26.05,-65.39,280.0,2.085
99,quatre cocos,75,MU,1571081412,83,-20.21,57.76,295.93,1.5
100,dunedin,100,NZ,1571081412,88,-45.87,170.5,283.71,12.07
101,grandview,1,US,1571081412,43,38.89,-94.53,296.48,5.1
102,fort-shevchenko,0,KZ,1571081412,66,44.51,50.26,288.2,2.292
103,kununurra,72,AU,1571081412,83,-15.77,128.74,295.15,2.426
104,hovezi,0,CZ,1571081412,93,49.3,18.06,289.15,0.5
105,provideniya,100,RU,1571081412,93,64.42,-173.23,272.7,3.053
106,nikolskoye,75,RU,1571081412,81,59.7,30.79,279.15,5.0
107,yellowknife,75,CA,1571081412,57,62.45,-114.38,273.15,1.5
108,jati,0,PK,1571081412,43,24.35,68.27,302.8,3.576
109,port elizabeth,1,US,1571081412,35,39.31,-74.98,297.15,6.7
110,mahebourg,75,MU,1571081412,83,-20.41,57.7,295.93,1.5
111,smithers,90,CA,1571081412,78,54.78,-127.17,273.15,3.6
112,sitka,0,US,1571081412,39,37.17,-99.65,297.04,4.47
113,neftcala,0,AZ,1571081412,74,39.37,49.25,294.0,6.577
114,mayo,75,CA,1571081412,78,63.59,-135.9,264.15,4.6
115,sorland,40,NO,1571081412,93,67.67,12.69,278.15,2.1
116,sao felix do xingu,43,BR,1571081412,33,-6.64,-51.99,308.9,2.407
117,galesong,12,ID,1571081412,73,-5.32,119.37,294.15,0.5
118,valparaiso,1,US,1571081412,46,41.47,-87.06,285.93,4.1
119,moron,8,HT,1571081412,72,18.56,-74.26,301.5,0.304
120,swinoujscie,56,PL,1571081412,82,53.91,14.25,286.15,3.1
121,soe,97,EE,1571081412,93,57.91,26.05,280.15,4.6
122,lompoc,1,US,1571081412,59,34.64,-120.46,294.82,3.1
123,castro,0,CL,1571081412,23,-42.48,-73.76,291.15,5.7
124,bubaque,2,GW,1571081412,75,11.28,-15.83,301.4,6.097
125,tagusao,95,PH,1571081412,85,9.19,117.81,298.0,0.421
126,torbay,90,CA,1571081412,75,47.66,-52.73,279.82,7.2
127,garowe,15,SO,1571081412,77,8.41,48.48,298.4,10.368
128,huty,33,UA,1571081412,69,50.13,35.35,287.8,3.531
129,north bend,1,US,1571081412,72,43.41,-124.22,289.26,2.6
130,khatanga,97,RU,1571081412,96,71.98,102.47,271.1,4.632
131,hami,0,CN,1571081412,27,42.84,93.51,285.1,2.82
132,east london,0,ZA,1571081412,93,-33.02,27.91,291.15,2.1
133,mwingi,20,KE,1571081412,70,-0.93,38.07,294.9,3.035
134,ures,0,MX,1571081412,50,30.73,-112.95,304.82,4.47
135,guanhaes,30,BR,1571081412,32,-18.77,-42.93,302.2,3.779
136,tasiilaq,75,GL,1571081412,64,65.61,-37.64,275.15,8.2
